,기준년월,발급회원번호,대표결제일,대표결제방법코드,대표청구지고객주소구분코드,대표청구서수령지구분코드,청구서수령방법,청구서발송여부_B0,청구서발송여부_R3M,청구서발송여부_R6M,청구금액_B0,청구금액_R3M,청구금액_R6M,포인트_마일리지_건별_B0M,포인트_마일리지_건별_R3M,포인트_포인트_건별_B0M,포인트_포인트_건별_R3M,포인트_마일리지_월적립_B0M,포인트_마일리지_월적립_R3M,포인트_포인트_월적립_B0M,포인트_포인트_월적립_R3M,포인트_적립포인트_R12M,포인트_적립포인트_R3M,포인트_이용포인트_R12M,포인트_이용포인트_R3M,포인트_잔여포인트_B0M,마일_적립포인트_R12M,마일_적립포인트_R3M,마일_이용포인트_R12M,마일_이용포인트_R3M,마일_잔여포인트_B0M,할인건수_R3M,할인금액_R3M,할인건수_B0M,할인금액_B0M,할인금액_청구서_R3M,할인금액_청구서_B0M,상환개월수_결제일_R6M,상환개월수_결제일_R3M,선결제건수_R6M,선결제건수_R3M,연체건수_R6M,연체건수_R3M,혜택수혜금액_R3M,포인트_마일리지_환산_B0M,혜택수혜금액
0,201810,SYN_0,27,2,_,S,03.LMS,1,1,1,1422787,4571679,9230484,0,0,1223,3841,0,0,0,0,3320,1540,2549,946,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
1,201810,SYN_1,13,2,002,1,01.우편,1,1,1,288891,952729,2005760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49311,16475,6,3,0,0,0,0,0,0,0
2,201810,SYN_2,25,2,002,1,01.우편,0,0,1,0,0,483423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1182,6,1182,608,608,4,1,0,0,0,0,0,0,0
3,201810,SYN_3,5,2,_,2,02.이메일,1,1,1,28831,77547,129054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
4,201810,SYN_4,23,2,_,2,02.이메일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,201810,SYN_5,23,2,002,1,01.우편,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,201810,SYN_6,15,2,002,1,01.우편,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,201810,SYN_7,27,2,002,1,01.우편,1,1,1,72371,234750,433776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,900,2702,901,6,3,0,0,0,0,2697,0,899
8,201810,SYN_8,25,2,_,2,02.이메일,1,1,1,1295820,3816966,7827221,0,0,0,0,0,0,4444,13351,0,14691,131198,27194,0,0,0,0,0,0,12,4042,4,1359,1962,1022,5,2,0,0,1,1,35852,0,25047
9,201810,SYN_9,15,2,002,1,01.우편,1,1,1,151313,437308,871507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
